Brand,Name,PID,Image URL,Page URL,Time Rated,Rating,Price,Market Segment
Acqua di Parma,Mirto di Panarea La Riserva,321808,https://media.parfumo.com/perfumes/2f/2fe7e3_mirto-di-panarea-la-riserva-acqua-di-parma_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Acqua_di_Parma/mirto-di-panarea-la-riserva,20 hours ago,4.5,102,Niche
Issey Miyake,Le Sel d'Issey EAU DE PARFUM,332341,https://media.parfumo.com/perfumes/78/789a2b_le-sel-d-issey-eau-de-parfum-issey-miyake_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Issey_Miyake/le-sel-d-issey-eau-de-parfum,5 days ago,4.5,58,
Tom Ford,Oud Wood EAU DE PARFUM,3840,https://media.parfumo.com/perfumes/cf/cf90e7-oud-wood-eau-de-parfum-tom-ford_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Tom_Ford/Oud_Wood_Eau_de_Parfum,6 days ago,4.5,190,Private Blend
French Avenue,Aether,306229,https://media.parfumo.com/perfumes/c6/c63ec5_aether-french-avenue_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/french-avenue/aether,6 days ago,4,37,Clone
Maison Francis Kurkdjian,Gentle Fluidity (Silver),121487,https://media.parfumo.com/perfumes/d7/d7353a-gentle-fluidity-silver-maison-francis-kurkdjian_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/gentle-fluidity-silver,2 days ago,4,169,Niche
Parfums de Marly,Galloway,32134,https://media.parfumo.com/perfumes/ba/ba3e20-galloway-parfums-de-marly_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Galloway,6 days ago,4,162,Niche
Rabanne,Invictus Parfum,245248,https://media.parfumo.com/perfumes/cf/cf9036-invictus-parfum-rabanne_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Rabanne/invictus-parfum,3 days ago,4,52,Designer
Annayake,Undō EAU DE TOILETTE,2586,https://media.parfumo.com/perfumes/2e/2e2837-undo-eau-de-toilette-annayake_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Annayake/Und__Eau_de_Toilette,3 days ago,4,45,Designer
Tom Ford,Tuscan Leather EAU DE PARFUM,3843,https://media.parfumo.com/perfumes/3c/3c62aa-tuscan-leather-eau-de-parfum-tom-ford_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Tom_Ford/Tuscan_Leather_Eau_de_Parfum,6 days ago,3.5,208,Private Blend
Tom Ford,Fucking Fabulous EAU DE PARFUM,94428,https://media.parfumo.com/perfumes/c4/c4e9e8-fucking-fabulous-fabulous-eau-de-parfum-tom-ford_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Tom_Ford/Fucking_Fabulous,6 days ago,2.5,281,Private Blend
