Brand,Name,PID,Image URL,Page URL,Time Rated,Rating,Price,Market Segment
Swiss Arabian,Shaghaf Vanilla Toffee,284863,https://media.parfumo.com/perfumes/f4/f4f1aa-shaghaf-vanilla-toffee-swiss-arabian_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Swiss_Arabian/shaghaf-vanilla-toffee,2 months ago,7,37,Niche
Maison Francis Kurkdjian,Aqua Media Cologne Forte,211455,https://media.parfumo.com/perfumes/9a/9a81e0-aqua-media-cologne-forte-maison-francis-kurkdjian_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/aqua-media-cologne-forte,2 months ago,7,150,Niche
Dolce & Gabbana,The One for Men EAU DE PARFUM INTENSE,134887,https://media.parfumo.com/perfumes/0a/0a1662-the-one-for-men-eau-de-parfum-intense-dolce-gabbana_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Dolce_Gabbana/the-one-for-men-eau-de-parfum-intense,2 months ago,7.5,60,Designer
Giorgio Armani,Emporio Armani - Stronger With You Powerfully,372469,https://media.parfumo.com/perfumes/5f/5fbd25_emporio-armani-stronger-with-you-powerfully-giorgio-armani_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Giorgio_Armani/emporio-armani-stronger-with-you-powerfully,2 months ago,8,74,Designer
Initio,Side Effect,81846,https://media.parfumo.com/perfumes/5a/5a8309-side-effect-initio_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Initio/Side_Effect,2 months ago,7.5,217,Niche
Louis Vuitton,Imagination,150441,https://media.parfumo.com/perfumes/b5/b5a991-imagination-louis-vuitton_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Louis_Vuitton/imagination,19 days ago,6.5,220,Designer
Azzaro,The Most Wanted Parfum,165475,https://media.parfumo.com/perfumes/91/910c89-the-most-wanted-parfum-azzaro_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Azzaro/the-most-wanted-parfum,2 months ago,7.5,53,Designer
Parfums de Marly,Delina Exclusif,106186,https://media.parfumo.com/perfumes/25/259ce9-delina-exclusif-parfums-de-marly_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Delina_Exclusif,2 months ago,7.5,287,Niche
Maison Francis Kurkdjian,Oud Satin Mood EAU DE PARFUM,57947,https://media.parfumo.com/perfumes/ed/ed7b0b-oud-satin-mood-eau-de-parfum-maison-francis-kurkdjian_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/Oud_Satin_Mood_Eau_de_Parfum,2 months ago,7.5,198,Niche
Perris Monte Carlo,Cedro di Diamante,110349,https://media.parfumo.com/perfumes/2f/2fad8a-cedro-di-diamante-perris-monte-carlo_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Perris_Monte_Carlo/Cedro_di_Diamante,2 months ago,7.5,117,Niche
Sedra,Nero,232208,https://media.parfumo.com/perfumes/af/afb60d-nero-sedra_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/sedra/nero,2 months ago,7.5,100,Niche
Nishane,Tempfluo,179569,https://media.parfumo.com/perfumes/46/460d17-tempfluo-nishane_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Nishane/tempfluo,2 months ago,7,131,Niche
Borntostandout,Fig Porn,195279,https://media.parfumo.com/perfumes/73/733aa1-fig-porn-borntostandout_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/borntostandout/fig-porn,2 months ago,7.5,332,Niche
Tom Ford,Vanilla Sex EAU DE PARFUM,236588,https://media.parfumo.com/perfumes/a5/a5bd53-vanilla-sex-vanilla-tom-ford_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Tom_Ford/vanilla-sex-vanilla-eau-de-parfum,2 months ago,7.5,309,Designer
Sospiro,Vibrato,236726,https://media.parfumo.com/perfumes/f1/f17fed-vibrato-sospiro_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Sospiro/vibrato,2 months ago,7.5,205,Niche
Tom Ford,Noir Extreme Parfum,179917,https://media.parfumo.com/perfumes/26/26cc36-noir-extreme-parfum-tom-ford_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Tom_Ford/noir-extreme-parfum,2 months ago,7.5,93,Designer
Jean Paul Gaultier,Le Mâle Elixir,209568,https://media.parfumo.com/perfumes/0c/0cf827-le-male-elixir-jean-paul-gaultier_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/le-male-elixir,2 months ago,7.5,57,Designer
Afnan Perfumes,Rare Reef,323899,https://media.parfumo.com/perfumes/84/8441ad_rare-reef-afnan-perfumes_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Afnan_Perfumes/rare-reef,5 hours ago,7,27,Dupe
Xerjoff,Alexandria II PARFUM,55381,https://media.parfumo.com/perfumes/be/be4590-alexandria-ii-parfum-xerjoff_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Xerjoff/alexandria-ii-parfum,2 months ago,7.5,275,Niche
The Merchant Of Venice,Gyokuro,166522,https://media.parfumo.com/perfumes/4e/4e4945-gyokuro-the-merchant-of-venice_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/The_Merchant_Of_Venice/gyokuro,2 months ago,7,105,Niche
The Woods Collection,Dusk,161242,https://media.parfumo.com/perfumes/10/10443b-dusk-the-woods-collection_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/The_Woods_Collection/dusk,2 months ago,7,48,Dupe
Mercedes-Benz,Club Black EAU DE TOILETTE,95419,https://media.parfumo.com/perfumes/dd/dd8a95-club-black-mercedes-benz_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Mercedes_Benz/club-black-eau-de-toilette,2 months ago,7,40,Designer
Prada,Luna Rossa Black,102256,https://media.parfumo.com/perfumes/78/78f913-luna-rossa-black-prada_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Prada/Luna_Rossa_Black,2 months ago,7,50,Designer
Anfas,Dhai,185323,https://media.parfumo.com/perfumes/6a/6a7cf3-dhai-anfas_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Anfas/dhai,2 months ago,7,550,Niche
Azzaro,The Most Wanted EAU DE PARFUM INTENSE,149169,https://media.parfumo.com/perfumes/93/93509c-the-most-wanted-azzaro_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Azzaro/the-most-wanted-eau-de-parfum-intense,2 months ago,7,50,Designer
Giorgio Armani,Emporio Armani - Stronger With You Absolutely,146241,https://media.parfumo.com/perfumes/21/21016b-emporio-armani-stronger-with-you-absolutely-giorgio-armani_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Giorgio_Armani/emporio-armani-stronger-with-you-absolutely,2 months ago,7,64,Designer
Anfas,Ishq,121311,https://media.parfumo.com/perfumes/ca/ca6259-ishq-anfas_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Anfas/ishq,2 months ago,7,360,Niche
Guerlain,L'Homme Idéal Extrême,138703,https://media.parfumo.com/perfumes/61/612632-l-homme-ideal-extreme-guerlain_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Guerlain/l-homme-ideal-extreme,2 months ago,7,67,Designer
Givenchy,Gentleman Givenchy Réserve Privée,158077,https://media.parfumo.com/perfumes/31/31da71-gentleman-givenchy-reserve-privee-givenchy_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Givenchy/gentleman-givenchy-reserve-privee,2 months ago,7,49,Designer
Carolina Herrera,Bad Boy Le Parfum,146899,https://media.parfumo.com/perfumes/27/27fa6a-bad-boy-le-parfum-carolina-herrera_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Carolina_Herrera/bad-boy-le-parfum,2 months ago,7,59,Designer
Versace,Eros Najim,287128,https://media.parfumo.com/perfumes/cb/cb27ec-eros-najim-versace_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Versace/eros-najim,2 months ago,7,58,Designer
Parfums de Marly,Herod,21903,https://media.parfumo.com/perfumes/68/68fe96-herod-parfums-de-marly_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Royal_Essence_Herod,2 months ago,6,150,Niche
Acqua di Parma,Buongiorno,311463,https://media.parfumo.com/perfumes/b6/b687a9_buongiorno-acqua-di-parma_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Acqua_di_Parma/buongiorno,1 day ago,7,122,Niche
Creed,Virgin Island Water,1843,https://media.parfumo.com/perfumes/e1/e13207-virgin-island-water-creed_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Creed/Virgin_Island_Water,2 months ago,7,222,Niche
Anfas,Salam,45855,https://media.parfumo.com/perfumes/7e/7e25d2-salam-anfas_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Anfas/Salam,2 months ago,7,265,Niche
Giorgio Armani,Acqua di Giò Profondo (2024) EAU DE PARFUM,248863,https://media.parfumo.com/perfumes/95/955e6e-acqua-di-gio-profondo-2024-eau-de-parfum-giorgio-armani_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Giorgio_Armani/acqua-di-gio-profondo-2024-eau-de-parfum,2 months ago,7,60,Designer
Rayhaan,Aquatica,358009,https://media.parfumo.com/perfumes/4a/4a43cb_aquatica-rayhaan_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/rayhaan/aquatica,1 day ago,6.5,45,Dupe
Bujairami,Hectic,363754,https://media.parfumo.com/perfumes/b0/b03b0d_hectic-bujairami_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/bujairami/hectic,2 months ago,6,65,Dupe
Bvlgari,Bvlgari Man In Black,48674,https://media.parfumo.com/perfumes/e3/e3bc9a-bvlgari-man-in-black-bvlgari_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Bvlgari/Bvlgari_Man_In_Black,2 months ago,7,68,Designer
Chanel,N°5 EAU DE PARFUM,57698,https://media.parfumo.com/perfumes/23/23c42a-n-5-eau-de-parfum-chanel_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Chanel/N5_Eau_de_Parfum,2 months ago,7,100,Designer
Dolce & Gabbana,The One for Men PARFUM,371038,https://media.parfumo.com/perfumes/2b/2b050b_the-one-for-men-parfum-dolce-gabbana_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Dolce_Gabbana/the-one-for-men-parfum,2 months ago,7,47,Designer
Dior,Dior Homme Intense (2011),13889,https://media.parfumo.com/perfumes/69/69da96-dior-homme-intense-2011-dior_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Dior/Dior_Homme_Intense_2011,2 months ago,7,67,Designer
French Avenue,Liquid Brun,305407,https://media.parfumo.com/perfumes/1a/1ab109_liquid-brun-french-avenue_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/french-avenue/liquid-brun,2 months ago,6,28,Dupe
Jean Paul Gaultier,Le Beau Le Parfum,160888,https://media.parfumo.com/perfumes/4a/4a9b75-le-beau-le-parfum-jean-paul-gaultier_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/le-beau-le-parfum,2 months ago,6.5,55,Designer
Maison Alhambra,Delilah,325927,https://media.parfumo.com/perfumes/97/976208_delilah-maison-alhambra_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/maison-alhambra/delilah,2 months ago,6.5,17,Dupe
Tom Ford,Black Orchid EAU DE PARFUM,2366,https://media.parfumo.com/perfumes/bb/bbbf67-black-orchid-eau-de-parfum-tom-ford_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Tom_Ford/Black_Orchid_Eau_de_Parfum,2 months ago,6.5,92,Designer
Yves Saint Laurent,La Nuit de L'Homme EAU DE TOILETTE,1844,https://media.parfumo.com/perfumes/12/1287ba-la-nuit-de-l-homme-eau-de-toilette-yves-saint-laurent_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/La_Nuit_de_L_Homme_Eau_de_Toilette,2 months ago,6.5,53,Designer
Nusuk,Ateeq,354475,https://media.parfumo.com/perfumes/ca/cae1c3_ateeq-nusuk_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/nusuk/ateeq,2 months ago,6.5,34,Dupe
Hermès,Terre d'Hermès EAU DE TOILETTE,2,https://media.parfumo.com/perfumes/a0/a0877a-terre-d-hermes-eau-de-toilette-hermes_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Hermes/Terre_d_Hermes_Eau_de_Toilette,2 months ago,6.5,45,Designer
Yves Saint Laurent,Libre EAU DE PARFUM,130526,https://media.parfumo.com/perfumes/17/175624-libre-eau-de-parfum-yves-saint-laurent_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/libre-eau-de-parfum,2 months ago,6.5,77,Designer
Ajwaa Perfumes,White Musk,234263,https://media.parfumo.com/perfumes/0c/0c27ad-white-musk-ajwaa-perfumes_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/ajwaa-perfumes/white-musk,2 months ago,6.5,50,Niche
Jean Paul Gaultier,Scandal pour Homme Absolu,249577,https://media.parfumo.com/perfumes/07/075dbd-scandal-pour-homme-absolu-jean-paul-gaultier_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/scandal-pour-homme-absolu,2 months ago,6.5,65,Designer
Jo Malone,Wood Sage & Sea Salt COLOGNE,46238,https://media.parfumo.com/perfumes/ee/ee5667-wood-sage-sea-salt-cologne-jo-malone_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Jo_Malone/Wood_Sage__Sea_Salt_Cologne,2 months ago,6.5,84,Niche
Dior,Sauvage EAU DE PARFUM,102281,https://media.parfumo.com/perfumes/a0/a0ef46-sauvage-eau-de-parfum-dior_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Dior/Sauvage_Eau_de_Parfum,2 months ago,6.5,60,Designer
Yves Saint Laurent,Black Opium EAU DE PARFUM,45685,https://media.parfumo.com/perfumes/2a/2a5099-black-opium-eau-de-parfum-yves-saint-laurent_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Black_Opium,2 months ago,6.5,82,Designer
Van Cleef & Arpels,Thé Amara,220490,https://media.parfumo.com/perfumes/bb/bbeead-the-amara-van-cleef-arpels_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Van_Cleef_Arpels/the-amara,2 months ago,6.5,147,Designer
Issey Miyake,Le Sel d'Issey EAU DE TOILETTE,263860,https://media.parfumo.com/perfumes/5d/5dabd8-le-sel-d-issey-issey-miyake_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Issey_Miyake/le-sel-d-issey-eau-de-toilette,2 months ago,6.5,42,Designer
Hugo Boss,Boss Bottled Elixir,219465,https://media.parfumo.com/perfumes/67/678233-boss-bottled-elixir-hugo-boss_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Hugo_Boss/boss-bottled-elixir,2 months ago,6.5,61,Designer
Giorgio Armani,Emporio Armani - Stronger With You Parfum,298165,https://media.parfumo.com/perfumes/a1/a16153-emporio-armani-stronger-with-you-parfum-giorgio-armani_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Giorgio_Armani/emporio-armani-stronger-with-you-parfum,2 months ago,6.5,73,Designer
Giorgio Armani,Emporio Armani - Stronger With You Amber,202137,https://media.parfumo.com/perfumes/64/64c87b-emporio-armani-stronger-with-you-amber-giorgio-armani_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Giorgio_Armani/emporio-armani-stronger-with-you-amber,2 months ago,6,73,Designer
Versace,Eros Flame,117130,https://media.parfumo.com/perfumes/fb/fb76fd-eros-flame-versace_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Versace/Eros_Flame,25 days ago,5.5,41,Designer
Creed,Absolu Aventus,225233,https://media.parfumo.com/perfumes/05/0505ea_absolu-aventus-creed_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Creed/absolu-aventus,2 months ago,6,310,Niche
Swiss Arabian,Shaghaf Oud Ahmar EAU DE PARFUM,209955,https://media.parfumo.com/perfumes/a9/a97735-shaghaf-oud-ahmar-eau-de-parfum-swiss-arabian_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Swiss_Arabian/shaghaf-oud-ahmar-eau-de-parfum,2 months ago,6,39,Niche
Kinetic Perfumes,Sillage,167850,https://media.parfumo.com/perfumes/96/967e3d_sillage-kinetic-perfumes_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/kinetic-perfumes/sillage,2 months ago,6,189,Niche
French Avenue,Amber Empire,354952,https://media.parfumo.com/perfumes/ca/ca0647_amber-empire-french-avenue_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/french-avenue/amber-empire,2 months ago,6,31,Dupe
Prada,Paradigme,336472,https://media.parfumo.com/perfumes/c3/c3c415_paradigme-prada_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Prada/paradigme,2 months ago,6,50,Designer
Maison Crivelli,Oud Stallion,219461,https://media.parfumo.com/perfumes/d5/d51fbc-oud-stallion-maison-crivelli_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Maison_Crivelli/oud-stallion,2 months ago,6,312,Niche
Gisada,Titanium,249313,https://media.parfumo.com/perfumes/0a/0aee81-titanium-gisada_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Gisada/titanium,2 months ago,6,86,Designer
Creed,Aventus Cologne,127275,https://media.parfumo.com/perfumes/1b/1b64a3-aventus-cologne-creed_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Creed/Aventus_Cologne,2 months ago,6,212,Niche
Montblanc,Explorer,118980,https://media.parfumo.com/perfumes/81/81a9f5-explorer-montblanc_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Montblanc/Explorer,2 months ago,6,39,Designer
Chanel,Bleu de Chanel EAU DE TOILETTE,8982,https://media.parfumo.com/perfumes/78/78540a-bleu-de-chanel-eau-de-toilette-chanel_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Chanel/Bleu_de_Chanel,2 months ago,6,100,Designer
Xerjoff,40 Knots,20666,https://media.parfumo.com/perfumes/32/32fcfa-40-knots-xerjoff_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Xerjoff/40-knots,2 months ago,6,163,Niche
Rabanne,1 Million EAU DE TOILETTE,343,https://media.parfumo.com/perfumes/fc/fc9d08-1-million-eau-de-toilette-rabanne_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Rabanne/1_Million_Eau_de_Toilette,2 months ago,6,44,Designer
Nishane,Hacivat,86705,https://media.parfumo.com/perfumes/b4/b4a302-hacivat-nishane_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Nishane/Hacivat,2 months ago,6,155,Niche
Jean Paul Gaultier,Le Mâle Le Parfum,140714,https://media.parfumo.com/perfumes/e6/e6a2db_le-male-le-parfum-jean-paul-gaultier_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/le-male-le-parfum,2 months ago,6,49,Designer
Viktor & Rolf,Spicebomb Infrared EAU DE TOILETTE,148352,https://media.parfumo.com/perfumes/6b/6be302-spicebomb-infrared-eau-de-toilette-viktor-rolf_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Viktor_Rolf/spicebomb-infrared-eau-de-toilette,2 months ago,6,80,Designer
Swiss Arabian,Shaghaf Oud EAU DE PARFUM,85165,https://media.parfumo.com/perfumes/42/426b5c-shaghaf-oud-eau-de-parfum-swiss-arabian_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Swiss_Arabian/shaghaf-oud-eau-de-parfum,2 months ago,6,28,Niche
Versace,Eros Parfum,153470,https://media.parfumo.com/perfumes/f9/f92e8e-eros-parfum-versace_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Versace/eros-parfum,2 months ago,6,37,Designer
Annayake,Tomo EAU DE TOILETTE,64,https://media.parfumo.com/perfumes/91/91212c-tomo-eau-de-toilette-annayake_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Annayake/Tomo__Eau_de_Toilette,2 months ago,6,40,Designer
Maison Francis Kurkdjian,Oud EAU DE PARFUM,17855,https://media.parfumo.com/perfumes/c9/c9e938-oud-eau-de-parfum-maison-francis-kurkdjian_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/Oud,2 months ago,6,233,Niche
Versace,Eros Energy,260344,https://media.parfumo.com/perfumes/ab/ab6668-eros-energy-versace_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Versace/eros-energy,2 months ago,5.5,42,Designer
Zimaya,Sharaf Divine,355663,https://media.parfumo.com/perfumes/af/af24bb_sharaf-divine-zimaya_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/zimaya/sharaf-divine,2 months ago,5.5,33,Dupe
Dior,Sauvage EAU DE TOILETTE,63363,https://media.parfumo.com/perfumes/a2/a28d94-sauvage-eau-de-toilette-dior_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Dior/Sauvage_Eau_de_Toilette,2 months ago,5.5,46,Designer
Jo Malone,Blackberry & Bay COLOGNE,20050,https://media.parfumo.com/perfumes/bd/bd6d58-blackberry-bay-cologne-jo-malone_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Jo_Malone/Blackberry__Bay,2 months ago,5.5,89,Niche
Xerjoff,Accento,16347,https://media.parfumo.com/perfumes/46/46c1f7_accento-xerjoff_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Xerjoff/Accento,2 months ago,5.5,152,Niche
Creed,Aventus,9438,https://media.parfumo.com/perfumes/ab/ab1e10-aventus-creed_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Creed/aventus,2 months ago,5.5,250,Niche
Yves Saint Laurent,Myslf L'Absolu,327808,https://media.parfumo.com/perfumes/d9/d95c53_myslf-l-absolu-yves-saint-laurent_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/myslf-l-absolu,2 months ago,6,100,Designer
Ralph Lauren,Ralph's Club New York,335581,https://media.parfumo.com/perfumes/4b/4bc1ee_ralph-s-club-new-york-ralph-lauren_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Ralph_Lauren/ralph-s-club-new-york,2 months ago,5.5,78,Designer
Azzaro,Chrome EAU DE TOILETTE,730,https://media.parfumo.com/perfumes/2c/2cab35-chrome-eau-de-toilette-azzaro_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Azzaro/Chrome_Eau_de_Toilette,2 months ago,5.5,40,Designer
Dior,Fahrenheit EAU DE TOILETTE,174,https://media.parfumo.com/perfumes/1a/1ade25-fahrenheit-eau-de-toilette-dior_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Dior/Fahrenheit_Eau_de_Toilette,2 months ago,5.5,48,Designer
Calvin Klein,CK One EAU DE TOILETTE,133,https://media.parfumo.com/perfumes/10/104003-ck-one-eau-de-toilette-calvin-klein_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Calvin_Klein/CK_One,2 months ago,5.5,15,Designer
